group,tag,score
software developer,debugging,1
software developer,notion,1
software developer,xml,0
software developer,web app,0
software developer,virtual machine,0
software developer,ux/ui,0
software developer,ux,0
software developer,user stories,0
software developer,user interface,0
software developer,uml,0
software developer,uat,0
software developer,svn,0
software developer,sit,0
software developer,centos,1
software developer,linux,1
software developer,javascript,0
software developer,java,0
software developer,gitlab,0
software developer,flask,0
software developer,exception processing,0
software developer,devops,0
software developer,cloud environment,1
software developer,cloud,1
software developer,c++,0
software developer,application software,0
software developer,app integration,0
software developer,adobe xd,0
software developer,test driven development,0
software developer,devop,0
software developer,code optimization,0
software developer,visual studio,0
software developer,open source,0
software developer,shell scripting,0
software developer,ms access,0
software developer,windows kernel,-1
software developer,user experience,-1
software developer,unix,-1
software developer,ssrs,0
software developer,ssis,-1
software developer,sprintboot,-1
software developer,spring,-1
software developer,solaris,-1
software developer,soap,-1
software developer,scss,-1
software developer,sass,-1
software developer,ruby,-1
software developer,reactjs,-1
software developer,php,-1
software developer,perl,-1
software developer,mobile app,-1
software developer,full stack,-1
software developer,frontend,-1
software developer,control-m,-1
software developer,cloud business,-1
software developer,c#,-1
software developer,c,-1
software developer,backend,-1
software developer,asp,-1
software developer,.net,-1
software developer,microservice,-1
software developer,shell,-1
software developer,os patch,-1
software developer,application patch,-1
software developer,gpu kernel programming,-1
software developer,bitbucket,-1
software developer,mavin,-1
software developer,os patching,-1
software developer,go,-1
software developer,kotlin,-1
sustainability,waste reduction,1
sustainability,sustainable development goals,1
sustainability,sustainability,1
sustainability,hydrogen storage,1
sustainability,greenhouse gas inventory,1
sustainability,food waste,1
sustainability,decarbonization,1
sustainability,climate change,1
sustainability,circular economy,1
sustainability,ccus,1
sustainability,hydrogen,1
sustainability,renewable,1
sustainability,energy efficiency,1
sustainability,agritech,1
sustainability,tcfd,0
sustainability,sustainable finance,0
sustainability,sustainability reporting,0
sustainability,sasb,0
sustainability,gri,0
sustainability,green finance,0
sustainability,ghg protocol,0
sustainability,esg,0
sustainability,cdp,0
sustainability,product carbon footprint,0
sustainability,regulation,0
sustainability,SSAE 3000/3410,-1
sustainability,iso14067,-1
sustainability,iso14044,-1
web developer,web application,1
web developer,rest api,1
web developer,django,1
web developer,api,1
web developer,cloud computing,0
web developer,webpack,-1
web developer,web assembly,-1
web developer,swift,-1
web developer,nodejs,-1
web developer,html,-1
web developer,css,-1
web developer,android studio,-1
web developer,android,-1
web developer,severless deployment,-1
data scientist,networkx,1
data scientist,social network analysis,1
data engineer,pdpa,0
web developer,wix,1
web developer,web publishing,0
science,behavioral science,1
data scientist,monte carlo,1
science,political science,0
sustainability,carbon capture,0
sustainability,renewable energy,0
sustainability,climate change policy,0
sustainability,carbon tax,0
sustainability,energy transition,1
consultant,seo,0
data engineer,snowflake,0
data engineer,wherescape,0
software developer,web development,0
software developer,mobile development,-1
software developer,terraform,-1
software developer,helm,-1
software developer,puppet,-1
finance,blockchain,-1
software developer,network load balancing,-1
software developer,site reliability engineering,0
data analyst,ibm cognos,0
data analyst,sas visual analytics,0
data analyst,sap business objects,0
data analyst,oracle bi,0
data analyst,sisense,0
data engineer,kinesis,-1
operations,qa/qc,1
data scientist,crisp,-1
data scientist,dataiku,-1
data scientist,aiops,0
data analyst,julia,-1
data analyst,looker,-1
web developer,streamlit,-1
data analyst,plotly,0
data scientist,statistical modeling,1
data analyst,cognos,-1
others,suppy chain,-1
data scientist,bayesian inference,0
data analyst,facebook,-1
software developer,nexus,0
software developer,spinnaker,-1
manufacturing,operations,1
consultant,interviewing,1
consultant,focus group,0
data scientist,chatbot,-1
data scientist,virtual assistant,-1
data scientist,character recognition,-1
finance,forex,0
data scientist,ann,0
data scientist,cnn,0
data scientist,rnn,0
data scientist,k-means clustering,1
data scientist,kernel svm,1
data scientist,xgboost,0
data scientist,anomaly detection,1
data engineer,flint,-1
data scientist,naive bayes,1
data scientist,gradient boosting,1
data scientist,geospatial analysis,0
data engineer,networks,-1
web developer,heroku,0
web developer,celery,0
software developer,selenium,1
software developer,beautiful soup,1
data engineer,postgres,0
